Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Motorola,Morad,Motorola,195692,True,70,5,0,4,0.226,0.88,0.741,2.96e-05,0.0894,-5.377,0.0553,0.779,129.965,Trapeo
Kobe En LA,Jhay Cortez,Kobe En LA,225786,False,68,1,1,4,0.072,0.767,0.757,2.5e-06,0.336,-5.514,0.062,0.573,96.062,Trapeo
Yo No Voy,Morad,Yo No Voy,245000,False,74,2,0,4,0.334,0.795,0.72,0.000229,0.104,-6.653,0.0931,0.687,143.939,Trapeo
Only Fans - Remix,"Young Martino,Lunay,Myke Towers,Jhay Cortez,Arcangel,Darell,Ñengo Flow,Brray,Joyce Santana",Only Fans (Remix),422576,True,74,1,0,4,0.422,0.722,0.745,0,0.191,-5.559,0.345,0.818,163.012,Trapeo
Normal,Morad,Normal,374666,False,71,4,0,4,0.546,0.749,0.654,4.43e-06,0.0906,-3.346,0.0645,0.475,90.035,Trapeo
Problemas,Paris Boy,Problemas,222892,True,79,1,0,4,0.677,0.787,0.238,2.2e-05,0.0869,-13.154,0.0554,0.262,98.022,Trapeo
Bobo,Morad,Bobo,215314,False,66,3,0,4,0.032,0.746,0.865,9.62e-05,0.105,-3.672,0.0508,0.511,126.966,Trapeo
Llegará,Myke Towers,Llegará,207573,True,71,1,0,4,0.541,0.818,0.744,0.000661,0.106,-4.917,0.0327,0.741,101.996,Trapeo
"Lemonade (feat. Anuel AA, Gunna, Don Toliver & NAV) - Latin Remix","Internet Money,Anuel AA,Gunna,Don Toliver,NAV","Lemonade (feat. Anuel AA, Gunna, Don Toliver & NAV) [Latin Remix]",278453,True,60,1,0,4,0.294,0.795,0.631,0,0.111,-5.832,0.0825,0.502,139.975,Trapeo
Subiendo De Nivel - Remix,"Jhay Cortez,Myke Towers",Famouz Reloaded,249253,False,63,6,0,4,0.419,0.681,0.622,0,0.104,-5.921,0.119,0.386,163.051,Trapeo
25/8,Bad Bunny,YHLQMDLG,243275,False,75,4,0,4,0.092,0.761,0.732,0,0.0716,-5.469,0.0549,0.542,151.982,Trapeo
Nos Perdone,Morad,Nos Perdone,334177,False,62,8,0,4,0.204,0.697,0.8,0,0.0758,-4.528,0.254,0.5,91.936,Trapeo
Bobby,Beny Jr,Bobby,196056,False,49,0,1,5,0.705,0.572,0.449,0,0.109,-9.709,0.374,0.766,95.076,Trapeo
Pensamientos,Morad,M.D.L.R 2.0,144586,False,61,3,0,3,0.62,0.564,0.764,5.27e-06,0.112,-6.008,0.26,0.504,104.187,Trapeo
Kawasaki,Beny Jr,Kawasaki,194073,True,61,3,1,1,0.477,0.801,0.506,0,0.0716,-9.193,0.261,0.854,148.072,Trapeo
Kemba Walker,"Eladio Carrion,Bad Bunny",Kemba Walker,152960,True,69,8,0,4,0.446,0.832,0.59,1.43e-06,0.123,-7.168,0.272,0.596,146.939,Trapeo
He Visto,Morad,He Visto,283283,False,64,2,0,4,0.557,0.73,0.44,0,0.0842,-9.042,0.18,0.414,122.023,Trapeo
LowKey,Bryant Myers,LowKey,193027,True,60,6,0,4,0.144,0.764,0.693,0,0.254,-4.667,0.396,0.682,179.866,Trapeo
Vatos Locos,"Jul,Morad",La machine,213813,True,59,11,0,3,0.279,0.543,0.817,3.03e-06,0.0953,-5.911,0.243,0.47,189.016,Trapeo
Abracadabra (feat. Future),"Sfera Ebbasta,Future",Famoso,192964,True,73,5,1,4,0.0461,0.846,0.681,0,0.112,-7.091,0.174,0.809,131.988,Trapeo
Ronca,Myke Towers,Easy Money Baby,149733,True,64,1,1,4,0.28,0.812,0.595,0,0.176,-6.478,0.133,0.528,90.005,Trapeo
Wow - Remix,"Bryant Myers,Nicky Jam,Arcangel,Darell,El Alfa",Wow (Remix),316074,True,72,10,0,4,0.194,0.656,0.697,0,0.313,-6.363,0.305,0.822,179.986,Trapeo
MIB,Myke Towers,Easy Money Baby,134013,True,64,1,1,4,0.184,0.92,0.561,0,0.0768,-4.217,0.149,0.631,129.981,Trapeo
Como Panas,Bryant Myers,Como Panas,198997,False,61,10,0,4,0.404,0.638,0.61,0,0.146,-5.929,0.213,0.379,157.956,Trapeo
"Tu Nombre (feat. JC Reyes, El Daddy) - Remix","Camin,Love Yi,Bandaga,El Daddy,JC Reyes,Pedro Calderón","Tu Nombre (feat. JC Reyes, El Daddy) [Remix]",246266,False,61,6,0,4,0.521,0.797,0.728,0,0.105,-4.733,0.2,0.319,115.015,Trapeo
Pikete Italiano,KvndySwing,Gelato,188181,False,0,8,1,4,0.327,0.835,0.473,0,0.258,-6.672,0.216,0.263,95.002,Trapeo
Tú,Myke Towers,Easy Money Baby,204746,True,66,5,0,4,0.258,0.805,0.744,1.4e-05,0.277,-5.627,0.149,0.825,123.999,Trapeo
Michael Myers,Myke Towers,Michael Myers,251533,True,62,7,1,4,0.627,0.777,0.586,0,0.129,-9.74,0.167,0.905,160.075,Trapeo
Narcos,Anuel AA,Emmanuel,259250,True,78,10,0,4,0.347,0.614,0.746,1.43e-05,0.0874,-3.527,0.196,0.601,168.072,Trapeo
Mi Participación,"Miky Woodz,Justin Quiles",EL OG WEEK,192013,True,58,0,1,4,0.396,0.844,0.544,0,0.176,-7.285,0.334,0.427,145.155,Trapeo
Como vas?,Kidd Keo,Como vas?,160266,True,64,10,1,4,0.0918,0.886,0.57,0,0.214,-7.841,0.175,0.805,144.017,Trapeo
2020,KEVVO,2020,209778,True,57,10,0,4,0.341,0.701,0.465,0.000167,0.664,-11.468,0.509,0.41,102.02,Trapeo
Si Me Gano Un Grammy,Jon Z,Si Me Gano Un Grammy,146409,True,66,4,0,4,0.048,0.812,0.63,0,0.11,-5.789,0.263,0.459,99.739,Trapeo
EBISU,Kidd Keo,BACK TO ROCKPORT,171071,True,59,10,0,4,0.562,0.627,0.705,0,0.141,-7.617,0.382,0.538,159.976,Trapeo
VAMONOS,"Kidd Keo,Sick Luke",BACK TO ROCKPORT,153878,True,66,11,1,4,0.409,0.706,0.714,1.03e-06,0.368,-6.451,0.0511,0.622,156.053,Trapeo
El Oso del Dinero,Ozuna,ENOC,157066,False,63,4,0,4,0.0972,0.727,0.848,0,0.216,-5.157,0.236,0.636,129.95,Trapeo
Illuminati - Remix,"Kiddtetoon,Diego Smith,Ozuna",Illuminati (Remix),290666,False,75,0,1,4,0.06,0.892,0.531,0,0.0996,-8.311,0.182,0.501,89.995,Trapeo
Jalapeño - Remix,"Amenazzy,Wiz Khalifa,Myke Towers",Jalapeño (Remix),204996,True,67,2,1,4,0.28,0.704,0.641,0,0.12,-5.794,0.257,0.514,84.862,Trapeo
Scarface,"El Alfa,Farruko,Play-N-Skillz",Scarface,225230,False,65,11,0,4,0.112,0.903,0.733,4.46e-05,0.233,-5.144,0.102,0.439,130.054,Trapeo
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243836,True,89,7,1,4,0.0847,0.841,0.728,0,0.149,-3.37,0.0484,0.43,130.049,Trapeo
LVCC,Myke Towers,Easy Money Baby,141550,True,63,11,0,4,0.185,0.774,0.513,1.28e-06,0.109,-8.298,0.245,0.404,75.034,Trapeo
"Zaramay: Bzrp Music Sessions, Vol. 31","Bizarrap,ZARAMAY","Zaramay: Bzrp Music Sessions, Vol. 31",219545,False,72,1,1,4,0.392,0.816,0.414,8.85e-05,0.0956,-9.654,0.132,0.832,88.015,Trapeo
Relax,Bryant Myers,Relax,206714,True,63,0,0,4,0.184,0.756,0.668,0,0.1,-5.585,0.051,0.314,125.965,Trapeo
Olajuwon,"Darell,Juanka",LVV the Real Rondon,245134,True,57,2,1,4,0.298,0.908,0.716,1.89e-06,0.143,-6.095,0.128,0.213,103.031,Trapeo
Shut Up,Miky Woodz,Shut Up,179304,True,61,5,0,4,0.23,0.749,0.565,0,0.145,-6.452,0.299,0.513,165.965,Trapeo
"Asan: Bzrp Music Sessions, Vol. 35","Bizarrap,Asan","Asan: Bzrp Music Sessions, Vol. 35",154181,False,69,8,1,4,0.205,0.68,0.576,0,0.109,-8.402,0.0866,0.507,164.978,Trapeo
VISIÓN TÚNEL,Cruz Cafuné,VISIÓN TÚNEL,183144,True,54,4,0,4,0.24,0.883,0.592,0,0.106,-9.106,0.349,0.758,121.125,Trapeo
Aburrido,"Pablo Chill-E,Quilapayún,Inti Illimani Histórico",Aburrido,229355,True,56,11,0,4,0.352,0.806,0.639,4.28e-05,0.471,-7.93,0.213,0.356,120.02,Trapeo
Polaris,Enyel C,Polaris,131154,False,39,3,1,4,0.597,0.688,0.81,0.104,0.0756,-6.656,0.19,0.22,149.965,Trapeo
Drill-Para,JC Reyes,Drill-Para,171428,False,37,8,1,4,0.09,0.668,0.825,3.2e-06,0.197,-3.443,0.268,0.174,139.692,Trapeo
